,Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Tgt,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,PlayerID
92,93.0,Bryce Young,CAR,QB,22.0,10.0,10.0,216.0,350.0,1877.0,9.0,8.0,25.0,161.0,6.44,0.0,0.0,0.0,0.0,,0.0,6.0,4.0,0.0,,1.0,105.0,105.2,123.2,113.2,,27.0,,YounBr01
93,94.0,Zach Wilson,NYJ,QB,24.0,10.0,9.0,190.0,321.0,1944.0,6.0,7.0,33.0,199.0,6.03,0.0,0.0,0.0,0.0,,0.0,9.0,5.0,0.0,1.0,1.0,102.0,101.7,119.7,108.7,,28.0,,WilsZa00
94,95.0,Austin Ekeler,LAC,RB,28.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,112.0,428.0,3.82,4.0,44.0,29.0,286.0,9.86,1.0,3.0,3.0,5.0,,,95.0,124.4,133.4,109.9,,25.0,,EkelAu00
95,96.0,Najee Harris,PIT,RB,25.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,143.0,598.0,4.18,4.0,27.0,19.0,116.0,6.11,0.0,1.0,0.0,4.0,,,95.0,114.4,120.4,104.9,,26.0,,HarrNa00
96,97.0,Jaylen Warren,PIT,RB,25.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,542.0,5.83,3.0,45.0,37.0,247.0,6.68,0.0,2.0,1.0,3.0,,,95.0,131.9,138.9,113.4,,27.0,,WarrJa01
97,98.0,De'Von Achane,MIA,RB,22.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,39.0,461.0,11.82,5.0,12.0,10.0,71.0,7.1,2.0,1.0,1.0,7.0,,,93.0,103.2,107.2,98.2,,28.0,,AchaDe00
98,99.0,Alexander Mattison,MIN,RB,25.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,158.0,594.0,3.76,0.0,40.0,27.0,174.0,6.44,3.0,3.0,2.0,3.0,,,91.0,117.8,125.8,104.3,,29.0,,MattAl01
99,100.0,Deshaun Watson,CLE,QB,28.0,6.0,6.0,105.0,171.0,1115.0,7.0,4.0,26.0,142.0,5.46,1.0,0.0,0.0,0.0,,0.0,5.0,2.0,1.0,3.0,,87.0,86.8,98.8,90.8,,29.0,,WatsDe00
100,101.0,D.K. Metcalf,SEA,WR,26.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,80.0,43.0,678.0,15.77,3.0,0.0,0.0,3.0,,,86.0,128.8,131.8,107.3,,30.0,,MetcDK00
101,102.0,George Pickens,PIT,WR,22.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,7.5,0.0,73.0,40.0,662.0,16.55,3.0,1.0,0.0,3.0,,,86.0,125.7,128.7,105.7,,31.0,,PickGe00
