Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,PlayerID
351,Ty Montgomery,NWE,WR,30,6,0,0,0,0,0,0,2,7,3.50,0,9,4,23,5.75,0,0,0,0,,,3,7.0,7.0,5.0,,140,,MontTy01
352,Byron Pringle,WAS,WR,30,6,0,0,0,0,0,0,0,0,,0,5,3,29,9.67,0,0,0,0,,,3,5.9,5.9,4.4,,141,,PrinBy00
353,Teagan Quitoriano,HOU,TE,23,6,5,0,0,0,0,0,0,0,,0,3,2,33,16.50,0,0,0,0,,,3,5.3,5.3,4.3,,68,,QuitTe00
354,Chris Rodriguez,WAS,RB,23,4,0,0,0,0,0,0,7,30,4.29,0,0,0,0,,0,0,0,0,,,3,3.0,3.0,3.0,,96,,RodrCh00
355,Justyn Ross,KAN,WR,24,6,0,0,0,0,0,0,0,0,,0,6,3,34,11.33,0,0,0,0,,,3,6.4,6.4,4.9,,137,,RossJu00
356,Trey Sermon,IND,RB,24,4,0,0,0,0,0,0,8,24,3.00,0,3,1,4,4.00,0,0,0,0,,,3,3.8,3.8,3.3,,99,,SermTr00
357,Irv Smith Jr.,CIN,TE,25,4,4,0,0,0,0,0,0,0,,0,11,6,32,5.33,0,0,0,0,,,3,9.2,9.2,6.2,,70,,SmitIr01
358,Keith Smith,ATL,RB,31,6,3,0,0,0,0,0,0,0,,0,1,1,28,28.00,0,0,0,0,,,3,3.8,3.8,3.3,,100,,SmitKe03
359,Sean Tucker,TAM,RB,22,5,0,0,0,0,0,0,15,23,1.53,0,2,2,9,4.50,0,0,0,0,,,3,5.2,5.2,4.2,,95,,TuckSe00
360,Ke'Shawn Vaughn,TAM,RB,26,3,0,0,0,0,0,0,15,25,1.67,0,3,1,3,3.00,0,0,0,0,,,3,3.8,3.8,3.3,,101,,VaugKe00
361,Zamir White,LVR,RB,24,6,0,0,0,0,0,0,10,41,4.10,0,3,3,12,4.00,0,1,1,0,,,3,6.3,7.3,4.8,,94,,WhitZa01
362,Trayveon Williams,CIN,RB,26,6,0,0,0,0,0,0,5,20,4.00,0,6,4,7,1.75,0,0,0,0,,,3,6.7,6.7,4.7,,103,,WillTr06
363,Bailey Zappe,NWE,QB,24,2,0,7,18,79,0,0,0,0,,0,0,0,0,,0,0,0,0,,,3,3.2,3.2,3.2,,43,,ZappBa00
364,Nate Adkins,DEN,TE,24,4,0,0,0,0,0,0,0,0,,0,4,3,19,6.33,0,0,0,0,,,2,4.9,4.9,3.4,,79,,AdkiNa00
365,Jordan Akins,CLE,TE,31,5,1,0,0,0,0,0,0,0,,0,6,3,20,6.67,0,0,0,0,,,2,5.0,5.0,3.5,,78,,AkinJo00
366,Daniel Bellinger,NYG,TE,23,6,4,0,0,0,0,0,0,0,,0,4,4,22,5.50,0,0,0,0,,,2,6.2,6.2,4.2,,75,,BellDa00
367,Raheem Blackshear,CAR,RB,24,2,0,0,0,0,0,0,5,18,3.60,0,1,1,4,4.00,0,0,0,0,,,2,3.2,3.2,2.7,,105,,BlacRa00
